"Device Name","WEATHER - 2719569"
"Device Model","5500L"
"Serial Number","2719569"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Wind Speed","Heat Index","Dew Point","Density Altitude","Crosswind","Headwind","Compass Magnetic Direction","Compass True Direction","Wind Chill","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","°C","%","mb","m","mb","km/h","°C","°C","m","km/h","km/h","Deg","Deg","°C"
"2023-06-14 02:32:30 p. m.","23,1","14,1","39,2","883,4","1140","883,4","4,7","22,0","8,5","1732","0,4","-4,7","184","185","23,1","session"
"2023-06-14 02:33:00 p. m.","22,9","13,7","37,9","883,4","1139","883,4","9,5","21,7","7,8","1724","0,7","-9,4","185","185","22,9","session"
"2023-06-14 02:33:30 p. m.","23,0","13,8","38,2","883,4","1139","883,4","8,4","21,8","8,0","1728","0,1","-8,4","180","180","23,0","session"
"2023-06-14 02:34:00 p. m.","22,5","13,4","37,8","883,4","1140","883,4","7,0","21,4","7,4","1710","0,9","-7,0","186","187","22,5","session"
"2023-06-14 02:34:30 p. m.","22,7","13,6","38,0","883,4","1140","883,4","10,0","21,6","7,7","1717","1,2","-10,0","187","187","22,7","session"
"2023-06-14 02:35:00 p. m.","23,2","13,9","37,9","883,5","1139","883,5","13,7","21,9","8,0","1732","1,0","-13,7","183","184","23,1","session"
"2023-06-14 02:35:30 p. m.","21,9","12,9","37,5","883,5","1139","883,5","11,8","20,9","6,8","1686","1,0","-11,8","185","186","21,9","session"
"2023-06-14 02:36:00 p. m.","21,2","12,6","38,5","883,4","1139","883,4","9,4","20,1","6,5","1661","1,0","-9,4","185","186","21,2","session"
"2023-06-14 02:36:30 p. m.","22,8","13,9","39,3","883,5","1139","883,5","9,1","21,7","8,2","1718","0,7","-9,1","183","183","22,7","session"
"2023-06-14 02:37:00 p. m.","22,7","13,7","38,7","883,5","1139","883,5","5,6","21,7","7,9","1716","0,3","-5,6","182","182","22,7","session"
"2023-06-14 02:37:30 p. m.","22,7","13,6","38,0","883,5","1138","883,5","19,0","21,6","7,7","1716","2,4","-18,8","187","188","22,7","session"
"2023-06-14 02:38:00 p. m.","21,9","12,9","37,6","883,4","1139","883,4","4,4","20,9","6,8","1688","0,5","-4,4","186","186","21,9","session"
"2023-06-14 02:38:30 p. m.","22,0","13,1","38,1","883,5","1139","883,5","7,0","20,9","7,1","1688","0,7","-7,0","184","184","21,9","session"
"2023-06-14 02:39:00 p. m.","20,2","11,7","37,9","883,4","1140","883,4","9,0","18,5","5,4","1623","1,0","-8,9","186","187","20,1","session"
"2023-06-14 02:39:30 p. m.","21,0","12,5","39,5","883,4","1139","883,4","14,0","19,8","6,7","1653","1,2","-13,9","184","185","20,9","session"
